rid,name,img,city,area,location,description,rating
24,Anand Vihar Bhojnalaya,restaurant/res24.jpg,Shegaon,Jyotiba Nagar,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3730.2583488036184!2d76.69449689999999!3d20.780833599999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bd745996af32575%3A0x19f87354b67988a2!2sAnand%20Vihar%20Bhojnalaya!5e0!3m2!1sen!2sin!4v1709739060819!5m2!1sen!2sin,"Welcome to Anand Vihar Bhojnalaya, where every meal is a journey through the flavors of India's rich culinary heritage. Located in the heart of [Location], our restaurant is a haven for those seeking authentic vegetarian cuisine in a warm and welcoming atmosphere.

At Anand Vihar Bhojnalaya, we take pride in offering a diverse menu that showcases the best of Indian culinary traditions. From aromatic curries and fragrant biryanis to mouthwatering street food specialties, each dish is prepared with care and attention to detail, using only the freshest ingredients and traditional cooking techniques.",4.8
23,"Gayatri pure veg, Restaurant",restaurant/res23.jpg,Shegaon,Jyotiba Nagar,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2528.908441054415!2d76.69636940058629!3d20.78090964568308!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bd745afd80dd7a1%3A0xd7ae2332e51b18be!2sGayatri%20pure%20veg%2C%20Restaurant!5e1!3m2!1sen!2sin!4v1709738987444!5m2!1sen!2sin,"Welcome to Gayatri Pure Veg Restaurant, where every meal is a celebration of vegetarian excellence. Situated in the heart of [Location], our restaurant invites you to experience the flavors of India in a warm and inviting ambiance.

At Gayatri Pure Veg, we believe in the power of fresh, locally sourced ingredients to create dishes that delight the senses and nourish the soul. Our menu features a diverse selection of vegetarian delicacies, ranging from traditional North Indian classics to South Indian specialties and everything in between.",4.0
22,Pankaj Restaurant,restaurant/res22.jpg,Shegaon,Gajanan Maharaj Temple,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d298.34696191097845!2d76.70088596342265!3d20.793307178341692!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bd7450a14415431%3A0xdbd40988bceb3aaa!2sPankaj%20Restaurant!5e1!3m2!1sen!2sin!4v1709738727593!5m2!1sen!2sin,"Pankaj Restaurant welcomes you to indulge in a culinary experience like no other. Located in the heart of , our restaurant offers a vibrant ambiance and a delectable menu that promises to delight your senses.

At Pankaj Restaurant, we take pride in serving a diverse range of dishes that showcase the rich flavors of Indian cuisine. From traditional classics to modern interpretations, each dish is crafted with care and expertise to ensure an unforgettable dining experience.",4.8
21,Vishwas Pure Veg,restaurant/res21.jpg,Shegaon,Gajanan Maharaj temple,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d298.3474442386841!2d76.70062059028784!3d20.793063245687183!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bd74556ef2ed79f%3A0x442155d6798ecd32!2sVishwas%20Pure%20Veg!5e1!3m2!1sen!2sin!4v1709738648924!5m2!1sen!2sin,"Welcome to Vishwas Pure Veg, where flavor meets freshness in every bite. Nestled in the heart of shegaon, our restaurant offers a haven for those seeking delicious and wholesome vegetarian cuisine.

At Vishwas Pure Veg, we believe in the power of natural ingredients and authentic flavors to create memorable dining experiences. Our menu features a diverse selection of vegetarian delights, carefully crafted to tantalize your taste buds and nourish your body.",4.6
20,Gurukrupa Restaurant and Cafe,restaurant/res20.jpg,Shegaon,Shegaon Road,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1419.2379286658213!2d76.6849606439716!3d20.78771313168956!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bd7456eb0742a43%3A0x205004678b27a1c!2sGurukrupa%20Restaurant%20and%20Cafe!5e1!3m2!1sen!2sin!4v1709738435401!5m2!1sen!2sin,"Gurukrupa Restaurant and Cafe extends a warm welcome to all food enthusiasts seeking a delightful culinary experience. Situated in the heart of [Location], our establishment offers a unique blend of restaurant dining and cafe ambiance.

At Gurukrupa, we pride ourselves on serving a diverse array of dishes that cater to every palate. Whether you're craving traditional Indian delicacies, continental delights, or refreshing beverages, our menu has something for everyone. From hearty breakfast options to satisfying meals and delectable desserts, each dish is prepared with care and attention to detail.",4.0
19,Sukh Sagar Veg Restutrant,restaurant/res19.jpg,Shegaon,Shegaon Road,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2838.500679497342!2d76.68529751286762!3d20.78639322770398!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bd74537005fd0a3%3A0xb2af4d0b8ff8507b!2sSukh%20Sagar%20Veg%20Restutrant!5e1!3m2!1sen!2sin!4v1709738345998!5m2!1sen!2sin,"Welcome to Sukh Sagar Veg Restaurant, where every dish is a celebration of vegetarian excellence. Nestled in the heart of [Location], our restaurant offers a haven for those seeking delicious and wholesome vegetarian cuisine.

At Sukh Sagar, we are passionate about creating memorable dining experiences that cater to all palates. Our menu features a diverse selection of vegetarian delights, ranging from traditional Indian favorites like dosas, idlis, and curries to innovative fusion dishes that showcase the versatility of vegetarian ingredients.",3.8
18,Della Villa Bistro,restaurant/res18.jpg,Lonavala,Kunegaon,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d854.593225643244!2d73.38761794559521!3d18.779202988589347!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be801f16f55b58b%3A0xacfd0dac8d922a72!2sDella%20Villa%20Bistro!5e1!3m2!1sen!2sin!4v1709737368958!5m2!1sen!2sin,"Welcome to Della Villa Bistro, where culinary excellence meets the charm of Italian hospitality. Situated in the heart of [Location], our bistro offers a cozy and inviting atmosphere for guests to enjoy a taste of Italy.

At Della Villa Bistro, we take pride in offering a menu inspired by the rich traditions of Italian cuisine, with a focus on fresh, locally sourced ingredients and authentic flavors. From classic pasta dishes and wood-fired pizzas to hearty risottos and flavorful antipasti, each dish is crafted with care and passion to evoke the true essence of Italian cooking.",4.8
17,Parsi Dhaba,restaurant/res17.jpg,Lonavala,Kunegaon,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d13673.319160984858!2d73.39311671910683!3d18.781328057230276!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be800c3de4865fd%3A0x5ccaee7ca002171b!2sParsi%20Dhaba!5e1!3m2!1sen!2sin!4v1709737278232!5m2!1sen!2sin,"Welcome to Parsi Dhaba, where every meal is a journey through the rich culinary heritage of the Parsi community. Nestled in the heart of [Location], our dhaba offers a warm and inviting atmosphere where guests can savor the authentic flavors of Parsi cuisine.

At Parsi Dhaba, we take pride in preserving traditional recipes passed down through generations, while also infusing our dishes with a touch of modern flair. From hearty dhansak and succulent salli boti to fragrant dhansak and flavorful patra ni machhi, each dish is a celebration of the unique spices and ingredients that define Parsi cooking.",4.6
16,Town Hill Cafe,restaurant/res16.jpg,Lonavala,Khnadala,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d854.7008952028526!2d73.37481009999999!3d18.7579615!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be8012b8f10356b%3A0x3c91324e973fc91f!2sTown%20Hill%20Cafe!5e1!3m2!1sen!2sin!4v1709737174399!5m2!1sen!2sin,"Welcome to Town Hill Cafe, where every cup tells a story and every bite is a delight. Perched atop the scenic hills of [Location], our cafe offers a charming retreat for coffee lovers and food enthusiasts alike.

At Town Hill Cafe, we believe in the power of simple pleasures done right. Our menu features a curated selection of specialty coffees, freshly brewed teas, and delectable bites inspired by local flavors and international cuisine. Whether you're craving a perfectly crafted espresso, a refreshing iced latte, or a hearty sandwich to fuel your adventures, we have something to satisfy every craving.",4.9
15,Konkan Park,restaurant/res15.jpg,Lonavala,Khndala,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3418.7914225539876!2d73.37732281074615!3d18.758561475661455!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be801a9ece2d7f3%3A0xe00f7bae42267c29!2sKonkan%20Park!5e1!3m2!1sen!2sin!4v1709737070986!5m2!1sen!2sin,"Welcome to Konkan Park, where coastal flavors and culinary tradition blend harmoniously. Situated in the heart of [Location], our restaurant invites you to embark on a culinary journey through the vibrant coastal region of Konkan.

At Konkan Park, we celebrate the rich culinary heritage of the Konkan coast, offering an array of flavorful dishes that showcase the region's diverse ingredients and traditional cooking techniques. From fresh seafood delicacies to fragrant rice dishes and spicy curries, each bite is a celebration of the region's vibrant flavors and cultural influences.",4.8
